General parameters:
Start time: 2023             10             19             15             39      33.078711
Finish time: 2023             10             19             16              5      14.168159
Raster type: raster_jump
Horizontal range (nm): -3983000.000000,-4051000.000000
Vertical range (nm): -1247000.000000,-1337000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.95e-07
Sample chamber pressure: 1.92e-08
Initial position (nm): -3225757.000000,-1209083.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3983000 -4051000
hori_res:2500
vert_range:-1247000 -1337000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.088252
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1329500,-4021000,1.5043e-11,64.6,21.25
-1329500,-4018500,1.4921e-11,64.6,21.25
-1329500,-4016000,1.5425e-11,64.6,21.25
-1329500,-4013500,1.5954e-11,64.6,21.25
-1329500,-4011000,1.4993e-11,64.6,21.25
-1329500,-4008500,1.6196e-11,64.6,21.25
-1329500,-4006000,1.5907e-11,64.6,21.25
-1329500,-4003500,1.6722e-11,NaN,21.25
-1329500,-4001000,1.9297e-11,64.6,21.25
-1329500,-3998500,1.9172e-11,64.6,21.25
-1329500,-3996000,1.5616e-11,64.6,21.25
-1329500,-3993500,1.5716e-11,64.6,21.25
-1329500,-3991000,1.5345e-11,64.6,21.25
-1329500,-3988500,1.5909e-11,64.6,21.25
-1329500,-3986000,1.6236e-11,64.6,21.25
-1329500,-3983500,1.5252e-11,64.6,21.25
-1327000,-4051000,1.5364e-11,64.6,21.25
-1327000,-4048500,1.5046e-11,64.6,21.25
-1327000,-4046000,1.4849e-11,64.6,21.25
-1327000,-4043500,1.5585e-11,64.6,21.25
-1327000,-4041000,1.569e-11,64.6,21.25
-1327000,-4038500,1.4934e-11,64.6,21.25
-1327000,-4036000,1.5454e-11,64.6,21.25
-1327000,-4033500,1.5093e-11,64.6,21.25
-1327000,-4031000,1.636e-11,64.6,21.25
-1327000,-4028500,1.5315e-11,64.6,21.25
-1327000,-4026000,1.526e-11,64.6,21.25
-1327000,-4023500,1.5058e-11,64.6,21.25
-1327000,-4021000,1.5675e-11,64.6,21.25
-1327000,-4018500,1.5801e-11,64.6,21.25
-1327000,-4016000,1.5299e-11,64.6,21.25
