General parameters:
Start time: 2023              8             30              0              2       7.936147
Finish time: 2023              8             30              0             49      16.752408
Raster type: raster_jump
Horizontal range (nm): -4025744.409144,-4225744.409144
Vertical range (nm): -39106.507300,-239106.507300
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.82e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -4100372.000000,-185780.000000,-999984.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4025744.4091     -4225744.4091
hori_res:3500
vert_range:-39106.5073     -239106.5073
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.906650
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2.356065e+05,-4.043744e+06,7.6573e-11,47.5,21.25
-2.356065e+05,-4.040244e+06,1.0043e-10,47.5,21.25
-2.356065e+05,-4.036744e+06,1.1249e-10,47.5,21.25
-2.356065e+05,-4.033244e+06,1.081e-10,47.5,21.25
-2.356065e+05,-4.029744e+06,1.1674e-10,47.5,21.25
-2.356065e+05,-4.026244e+06,1.272e-10,47.5,21.25
-2.321065e+05,-4.225744e+06,5.69e-11,47.5,21.25
-2.321065e+05,-4.222244e+06,4.8123e-11,47.5,21.25
-2.321065e+05,-4.218744e+06,4.8043e-11,47.5,21.25
-2.321065e+05,-4.215244e+06,4.869e-11,47.5,21.25
-2.321065e+05,-4.211744e+06,4.981e-11,47.5,21.25
-2.321065e+05,-4.208244e+06,4.926e-11,47.5,21.25
-2.321065e+05,-4.204744e+06,4.9067e-11,47.5,21.25
-2.321065e+05,-4.201244e+06,5.0777e-11,47.5,21.25
-2.321065e+05,-4.197744e+06,4.7043e-11,47.4,21.25
-2.321065e+05,-4.194244e+06,4.874e-11,47.4,21.25
-2.321065e+05,-4.190744e+06,4.7853e-11,47.5,21.25
-2.321065e+05,-4.187244e+06,4.899e-11,47.4,21.25
-2.321065e+05,-4.183744e+06,4.9097e-11,47.4,21.25
-2.321065e+05,-4.180244e+06,5.1647e-11,47.5,21.25
-2.321065e+05,-4.176744e+06,6.2567e-11,47.5,21.25
-2.321065e+05,-4.173244e+06,7.3977e-11,47.4,21.25
-2.321065e+05,-4.169744e+06,5.95e-11,47.5,21.25
-2.321065e+05,-4.166244e+06,4.9307e-11,47.4,21.25
-2.321065e+05,-4.162744e+06,5.0727e-11,47.5,21.25
-2.321065e+05,-4.159244e+06,4.7837e-11,47.4,21.25
-2.321065e+05,-4.155744e+06,4.8777e-11,47.4,21.25
-2.321065e+05,-4.152244e+06,4.8933e-11,47.4,21.25
-2.321065e+05,-4.148744e+06,4.7903e-11,47.4,21.25
-2.321065e+05,-4.145244e+06,4.826e-11,47.4,21.25
-2.321065e+05,-4.141744e+06,4.6763e-11,47.4,21.25
-2.321065e+05,-4.138244e+06,4.758e-11,47.4,21.25
-2.321065e+05,-4.134744e+06,4.9443e-11,47.4,21.25
-2.321065e+05,-4.131244e+06,5.0047e-11,47.4,21.25
-2.321065e+05,-4.127744e+06,4.916e-11,47.4,21.25
-2.321065e+05,-4.124244e+06,5.245e-11,47.4,21.25
-2.321065e+05,-4.120744e+06,5.192e-11,47.4,21.25
-2.321065e+05,-4.117244e+06,5.641e-11,47.4,21.25
-2.321065e+05,-4.113744e+06,4.9973e-11,47.4,21.25
-2.321065e+05,-4.110244e+06,4.9763e-11,47.4,21.25
-2.321065e+05,-4.106744e+06,5.0443e-11,47.4,21.25
-2.321065e+05,-4.103244e+06,4.8327e-11,47.4,21.25
-2.321065e+05,-4.099744e+06,4.7413e-11,47.4,21.25
-2.321065e+05,-4.096244e+06,4.8373e-11,47.4,21.25
-2.321065e+05,-4.092744e+06,4.9733e-11,47.4,21.25
-2.321065e+05,-4.089244e+06,4.6483e-11,47.4,21.25
-2.321065e+05,-4.085744e+06,4.7417e-11,47.4,21.25
-2.321065e+05,-4.082244e+06,4.8267e-11,47.4,21.25
-2.321065e+05,-4.078744e+06,4.9673e-11,47.4,21.25
-2.321065e+05,-4.075244e+06,4.848e-11,47.4,21.25
-2.321065e+05,-4.071744e+06,4.8437e-11,47.4,21.25
-2.321065e+05,-4.068244e+06,4.6297e-11,47.4,21.25
-2.321065e+05,-4.064744e+06,4.666e-11,47.4,21.25
