General parameters:
Start time: 2023              8             18              1              9      15.316075
Finish time: 2023              8             18              1             33       6.301887
Raster type: raster_jump
Horizontal range (nm): -3197978.413140,-3397978.413140
Vertical range (nm): 398585.055081,198585.055081
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.97e-07
Sample chamber pressure: 3.83e-08
Initial position (nm): -3357003.000000,375000.000000,-999980.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3197978.4131     -3397978.4131
hori_res:5000
vert_range:398585.0551      198585.0551
vert_res:5000
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.675458
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.035851e+05,-3.222978e+06,4.212e-11,65.9,21.25
2.035851e+05,-3.217978e+06,4.376e-11,65.9,21.25
2.035851e+05,-3.212978e+06,4.502e-11,65.9,21.25
2.035851e+05,-3.207978e+06,4.0623e-11,65.9,21.25
2.035851e+05,-3.202978e+06,4.2897e-11,65.9,21.25
2.035851e+05,-3.197978e+06,4.1413e-11,65.9,21.25
2.085851e+05,-3.397978e+06,4.2243e-11,65.9,21.25
2.085851e+05,-3.392978e+06,4.135e-11,65.9,21.25
2.085851e+05,-3.387978e+06,4.108e-11,65.9,21.25
2.085851e+05,-3.382978e+06,4.02e-11,65.9,21.25
2.085851e+05,-3.377978e+06,4.1683e-11,65.9,21.25
2.085851e+05,-3.372978e+06,4.251e-11,65.9,21.25
2.085851e+05,-3.367978e+06,4.0983e-11,65.9,21.25
2.085851e+05,-3.362978e+06,4.2947e-11,65.9,21.25
2.085851e+05,-3.357978e+06,4.1137e-11,65.9,21.25
2.085851e+05,-3.352978e+06,4.2303e-11,65.9,21.25
2.085851e+05,-3.347978e+06,4.376e-11,65.9,21.25
2.085851e+05,-3.342978e+06,4.011e-11,65.9,21.25
2.085851e+05,-3.337978e+06,4.1397e-11,65.9,21.25
2.085851e+05,-3.332978e+06,4.1813e-11,65.9,21.25
2.085851e+05,-3.327978e+06,4.276e-11,65.9,21.25
2.085851e+05,-3.322978e+06,4.1103e-11,65.9,21.25
2.085851e+05,-3.317978e+06,4.0407e-11,65.9,21.25
2.085851e+05,-3.312978e+06,4.2287e-11,65.9,21.25
2.085851e+05,-3.307978e+06,4.572e-11,65.9,21.25
2.085851e+05,-3.302978e+06,4.2043e-11,65.9,21.25
2.085851e+05,-3.297978e+06,4.179e-11,65.9,21.25
2.085851e+05,-3.292978e+06,4.0447e-11,65.9,21.25
2.085851e+05,-3.287978e+06,4.173e-11,65.9,21.25
2.085851e+05,-3.282978e+06,4.2337e-11,65.9,21.25
2.085851e+05,-3.277978e+06,4.3177e-11,65.9,21.25
2.085851e+05,-3.272978e+06,4.1057e-11,65.9,21.25
2.085851e+05,-3.267978e+06,4.2643e-11,65.9,21.25
2.085851e+05,-3.262978e+06,4.052e-11,65.9,21.25
2.085851e+05,-3.257978e+06,4.1803e-11,65.9,21.25
2.085851e+05,-3.252978e+06,4.3233e-11,65.9,21.25
2.085851e+05,-3.247978e+06,4.0767e-11,65.9,21.25
