General parameters:
Start time: 2023              8             18              0             21       8.691202
Finish time: 2023              8             18              0             44      59.389594
Raster type: raster_jump
Horizontal range (nm): -3509510.189801,-3709510.189801
Vertical range (nm): 324159.446133,124159.446133
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 3.84e-08
Initial position (nm): -3650870.000000,247610.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3509510.1898     -3709510.1898
hori_res:5000
vert_range:324159.4461      124159.4461
vert_res:5000
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.672038
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
1.341594e+05,-3.514510e+06,3.916e-11,65.7,21.25
1.341594e+05,-3.509510e+06,4.153e-11,65.7,21.25
1.391594e+05,-3.709510e+06,3.8637e-11,65.7,21.25
1.391594e+05,-3.704510e+06,4.0253e-11,65.7,21.25
1.391594e+05,-3.699510e+06,4.269e-11,65.7,21.25
1.391594e+05,-3.694510e+06,3.9533e-11,65.7,21.25
1.391594e+05,-3.689510e+06,4.1663e-11,65.7,21.25
1.391594e+05,-3.684510e+06,4.299e-11,65.7,21.25
1.391594e+05,-3.679510e+06,4.2413e-11,65.7,21.25
1.391594e+05,-3.674510e+06,4.1067e-11,65.7,21.25
1.391594e+05,-3.669510e+06,3.8737e-11,65.7,21.25
1.391594e+05,-3.664510e+06,4.2063e-11,65.7,21.25
1.391594e+05,-3.659510e+06,3.9407e-11,65.7,21.25
1.391594e+05,-3.654510e+06,4.1953e-11,65.7,21.25
1.391594e+05,-3.649510e+06,3.9507e-11,65.7,21.25
1.391594e+05,-3.644510e+06,4.1013e-11,65.7,21.25
1.391594e+05,-3.639510e+06,4.0037e-11,65.7,21.25
1.391594e+05,-3.634510e+06,4.0657e-11,65.7,21.25
1.391594e+05,-3.629510e+06,3.869e-11,65.7,21.25
1.391594e+05,-3.624510e+06,3.994e-11,65.7,21.25
1.391594e+05,-3.619510e+06,4.0033e-11,65.7,21.25
1.391594e+05,-3.614510e+06,4.0357e-11,65.7,21.25
1.391594e+05,-3.609510e+06,4.0387e-11,65.7,21.25
1.391594e+05,-3.604510e+06,3.998e-11,65.7,21.25
1.391594e+05,-3.599510e+06,4.032e-11,65.7,21.25
1.391594e+05,-3.594510e+06,4.203e-11,65.7,21.25
1.391594e+05,-3.589510e+06,4.161e-11,65.7,21.25
1.391594e+05,-3.584510e+06,3.8747e-11,65.7,21.25
1.391594e+05,-3.579510e+06,3.7433e-11,65.7,21.25
1.391594e+05,-3.574510e+06,3.9437e-11,65.7,21.25
1.391594e+05,-3.569510e+06,4.1217e-11,65.7,21.25
1.391594e+05,-3.564510e+06,4.1883e-11,65.7,21.25
1.391594e+05,-3.559510e+06,4.2163e-11,65.7,21.25
1.391594e+05,-3.554510e+06,4.1693e-11,65.7,21.25
1.391594e+05,-3.549510e+06,4.2913e-11,65.7,21.25
1.391594e+05,-3.544510e+06,4.0937e-11,65.7,21.25
1.391594e+05,-3.539510e+06,4.1827e-11,65.7,21.25
1.391594e+05,-3.534510e+06,4.0387e-11,65.7,21.25
1.391594e+05,-3.529510e+06,4.0993e-11,65.7,21.25
1.391594e+05,-3.524510e+06,4.1043e-11,65.7,21.25
1.391594e+05,-3.519510e+06,4.241e-11,65.7,21.25
1.391594e+05,-3.514510e+06,3.769e-11,65.7,21.25
1.391594e+05,-3.509510e+06,3.88e-11,NaN,21.25
1.441594e+05,-3.709510e+06,4.0117e-11,65.7,21.25
1.441594e+05,-3.704510e+06,4.1553e-11,65.7,21.25
1.441594e+05,-3.699510e+06,4.0343e-11,65.7,21.25
1.441594e+05,-3.694510e+06,3.9767e-11,65.7,21.25
1.441594e+05,-3.689510e+06,3.9437e-11,65.7,21.25
1.441594e+05,-3.684510e+06,4.0893e-11,65.7,21.25
1.441594e+05,-3.679510e+06,4.027e-11,65.7,21.25
1.441594e+05,-3.674510e+06,4.0393e-11,65.7,21.25
1.441594e+05,-3.669510e+06,3.9017e-11,65.7,21.25
1.441594e+05,-3.664510e+06,4.0583e-11,65.7,21.25
1.441594e+05,-3.659510e+06,4.1967e-11,65.7,21.25
