General parameters:
Start time: 2023              8             24              0             36      53.650252
Finish time: 2023              8             24              1             28      31.806091
Raster type: raster_jump
Horizontal range (nm): -4051693.512394,-4201693.512394
Vertical range (nm): -68916.218018,-218916.218018
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.70e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -4121557.000000,-218770.000000,-999992.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4051693.5124     -4201693.5124
hori_res:2500
vert_range:-68916.21802      -218916.218
vert_res:2500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.815678
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2.164162e+05,-4.169194e+06,3.296e-11,63.4,21.25
-2.164162e+05,-4.166694e+06,3.3773e-11,63.4,21.25
-2.164162e+05,-4.164194e+06,3.494e-11,63.4,21.25
-2.164162e+05,-4.161694e+06,3.508e-11,63.4,21.25
-2.164162e+05,-4.159194e+06,3.4207e-11,63.4,21.25
-2.164162e+05,-4.156694e+06,3.5353e-11,63.4,21.25
-2.164162e+05,-4.154194e+06,3.286e-11,63.4,21.25
-2.164162e+05,-4.151694e+06,3.5113e-11,63.4,21.25
-2.164162e+05,-4.149194e+06,3.3937e-11,63.4,21.25
-2.164162e+05,-4.146694e+06,3.3003e-11,63.4,21.25
-2.164162e+05,-4.144194e+06,3.2687e-11,63.4,21.25
-2.164162e+05,-4.141694e+06,3.425e-11,63.4,21.25
-2.164162e+05,-4.139194e+06,3.378e-11,63.4,21.25
-2.164162e+05,-4.136694e+06,3.4913e-11,63.4,21.25
-2.164162e+05,-4.134194e+06,3.555e-11,63.4,21.25
-2.164162e+05,-4.131694e+06,3.5157e-11,63.4,21.25
-2.164162e+05,-4.129194e+06,4.908e-11,63.4,21.25
-2.164162e+05,-4.126694e+06,8.5583e-11,63.4,21.25
-2.164162e+05,-4.124194e+06,1.1817e-10,63.4,21.25
-2.164162e+05,-4.121694e+06,1.3928e-10,63.4,21.25
-2.164162e+05,-4.119194e+06,1.4189e-10,63.4,21.25
-2.164162e+05,-4.116694e+06,1.3869e-10,63.4,21.25
-2.164162e+05,-4.114194e+06,1.2962e-10,63.4,21.25
-2.164162e+05,-4.111694e+06,1.3537e-10,63.4,21.25
-2.164162e+05,-4.109194e+06,1.377e-10,63.4,21.25
-2.164162e+05,-4.106694e+06,1.3888e-10,63.4,21.25
-2.164162e+05,-4.104194e+06,1.3772e-10,63.4,21.25
-2.164162e+05,-4.101694e+06,1.2894e-10,63.4,21.25
-2.164162e+05,-4.099194e+06,1.1244e-10,63.4,21.25
-2.164162e+05,-4.096694e+06,9.324e-11,63.4,21.25
-2.164162e+05,-4.094194e+06,7.0133e-11,63.4,21.25
-2.164162e+05,-4.091694e+06,4.408e-11,63.4,21.25
-2.164162e+05,-4.089194e+06,3.7887e-11,63.4,21.25
-2.164162e+05,-4.086694e+06,3.3633e-11,63.4,21.25
-2.164162e+05,-4.084194e+06,3.1977e-11,63.4,21.25
-2.164162e+05,-4.081694e+06,3.5773e-11,63.4,21.25
-2.164162e+05,-4.079194e+06,3.2123e-11,63.4,21.25
-2.164162e+05,-4.076694e+06,3.522e-11,63.4,21.25
-2.164162e+05,-4.074194e+06,3.5273e-11,63.4,21.25
-2.164162e+05,-4.071694e+06,3.6807e-11,63.4,21.25
-2.164162e+05,-4.069194e+06,3.3173e-11,63.4,21.25
-2.164162e+05,-4.066694e+06,3.2373e-11,63.4,21.25
-2.164162e+05,-4.064194e+06,3.466e-11,63.4,21.25
-2.164162e+05,-4.061694e+06,3.3397e-11,63.4,21.25
-2.164162e+05,-4.059194e+06,3.3947e-11,63.4,21.25
-2.164162e+05,-4.056694e+06,3.2573e-11,63.4,21.25
-2.164162e+05,-4.054194e+06,3.305e-11,63.4,21.25
-2.164162e+05,-4.051694e+06,3.3977e-11,63.4,21.25
-2.139162e+05,-4.201694e+06,3.5427e-11,63.4,21.25
-2.139162e+05,-4.199194e+06,3.311e-11,63.4,21.25
-2.139162e+05,-4.196694e+06,3.3957e-11,63.4,21.25
-2.139162e+05,-4.194194e+06,3.3803e-11,63.4,21.25
-2.139162e+05,-4.191694e+06,3.1043e-11,63.4,21.25
-2.139162e+05,-4.189194e+06,3.353e-11,63.4,21.25
-2.139162e+05,-4.186694e+06,3.276e-11,63.4,21.25
-2.139162e+05,-4.184194e+06,3.3307e-11,63.4,21.25
-2.139162e+05,-4.181694e+06,3.2587e-11,63.4,21.25
-2.139162e+05,-4.179194e+06,3.385e-11,63.4,21.25
-2.139162e+05,-4.176694e+06,3.3263e-11,63.4,21.25
-2.139162e+05,-4.174194e+06,3.408e-11,63.4,21.25
