General parameters:
Start time: 2023              8             16             22             20       3.841571
Finish time: 2023              8             16             23             24       43.95598
Raster type: raster_jump
Horizontal range (nm): -6505249.300000,-6355249.300000
Vertical range (nm): 226901.600000,376901.600000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.02e-07
Sample chamber pressure: 3.74e-08
Initial position (nm): -5860207.000000,373420.000000,-3999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-6505249.3        -6355249.3
hori_res:3000
vert_range:226901.6         376901.6
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.668960
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
2.419016e+05,-6.454249e+06,6.5748e-11,66.4,21.25
2.419016e+05,-6.451249e+06,6.5693e-11,66.4,21.25
2.419016e+05,-6.448249e+06,6.7001e-11,66.4,21.25
2.419016e+05,-6.445249e+06,6.5918e-11,66.4,21.25
2.419016e+05,-6.442249e+06,6.5713e-11,66.4,21.25
2.419016e+05,-6.439249e+06,6.5342e-11,66.4,21.25
2.419016e+05,-6.436249e+06,6.5231e-11,66.4,21.25
2.419016e+05,-6.433249e+06,6.5549e-11,66.4,21.25
2.419016e+05,-6.430249e+06,6.4101e-11,66.4,21.25
2.419016e+05,-6.427249e+06,6.6704e-11,66.4,21.25
2.419016e+05,-6.424249e+06,6.4733e-11,66.4,21.25
2.419016e+05,-6.421249e+06,6.466e-11,66.4,21.25
2.419016e+05,-6.418249e+06,6.3851e-11,66.4,21.25
2.419016e+05,-6.415249e+06,6.5579e-11,66.4,21.25
2.419016e+05,-6.412249e+06,6.6781e-11,66.4,21.25
2.419016e+05,-6.409249e+06,6.6676e-11,66.4,21.25
2.419016e+05,-6.406249e+06,6.3984e-11,66.4,21.25
2.419016e+05,-6.403249e+06,6.3976e-11,66.4,21.25
2.419016e+05,-6.400249e+06,6.5487e-11,66.4,21.25
2.419016e+05,-6.397249e+06,6.4501e-11,66.4,21.25
2.419016e+05,-6.394249e+06,6.6267e-11,66.4,21.25
2.419016e+05,-6.391249e+06,6.4897e-11,66.4,21.25
2.419016e+05,-6.388249e+06,6.5016e-11,66.4,21.25
2.419016e+05,-6.385249e+06,6.5139e-11,66.4,21.25
2.419016e+05,-6.382249e+06,6.6154e-11,66.4,21.25
2.419016e+05,-6.379249e+06,6.593e-11,66.4,21.25
2.419016e+05,-6.376249e+06,6.5315e-11,66.4,21.25
2.419016e+05,-6.373249e+06,6.5093e-11,66.4,21.25
2.419016e+05,-6.370249e+06,6.6085e-11,66.4,21.25
2.419016e+05,-6.367249e+06,6.6112e-11,66.4,21.25
2.419016e+05,-6.364249e+06,6.5828e-11,66.4,21.25
2.419016e+05,-6.361249e+06,6.4499e-11,66.4,21.25
2.419016e+05,-6.358249e+06,6.5791e-11,66.4,21.25
2.419016e+05,-6.355249e+06,6.5272e-11,66.4,21.25
2.449016e+05,-6.505249e+06,6.3907e-11,66.4,21.25
2.449016e+05,-6.502249e+06,6.4564e-11,66.4,21.25
2.449016e+05,-6.499249e+06,6.5916e-11,66.4,21.25
2.449016e+05,-6.496249e+06,6.5488e-11,66.4,21.25
2.449016e+05,-6.493249e+06,6.4267e-11,66.4,21.25
2.449016e+05,-6.490249e+06,6.3604e-11,66.4,21.25
2.449016e+05,-6.487249e+06,6.4173e-11,66.4,21.25
2.449016e+05,-6.484249e+06,6.4279e-11,66.4,21.25
2.449016e+05,-6.481249e+06,6.6163e-11,66.4,21.25
2.449016e+05,-6.478249e+06,6.7739e-11,66.4,21.25
2.449016e+05,-6.475249e+06,6.5354e-11,66.4,21.25
2.449016e+05,-6.472249e+06,6.4972e-11,66.4,21.25
2.449016e+05,-6.469249e+06,6.329e-11,66.4,21.25
2.449016e+05,-6.466249e+06,6.747e-11,66.4,21.25
2.449016e+05,-6.463249e+06,6.6593e-11,66.4,21.25
2.449016e+05,-6.460249e+06,6.5557e-11,66.4,21.25
2.449016e+05,-6.457249e+06,6.5034e-11,66.4,21.25
