General parameters:
Start time: 2023              8             26              0              8      26.274475
Finish time: 2023              8             26              0             55      41.608485
Raster type: raster_jump
Horizontal range (nm): -2478645.670325,-2678645.670325
Vertical range (nm): 91670.986544,-108329.013456
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 7.01e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -2596073.000000,208080.000000,-1000007.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2478645.6703     -2678645.6703
hori_res:3500
vert_range:91670.98654     -108329.0135
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.826280
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.013290e+05,-2.584146e+06,3.6643e-11,57.5,21.25
-1.013290e+05,-2.580646e+06,3.9483e-11,57.5,21.25
-1.013290e+05,-2.577146e+06,3.9267e-11,57.5,21.25
-1.013290e+05,-2.573646e+06,4.007e-11,57.5,21.25
-1.013290e+05,-2.570146e+06,3.99e-11,57.5,21.25
-1.013290e+05,-2.566646e+06,4e-11,57.5,21.25
-1.013290e+05,-2.563146e+06,4.0353e-11,57.5,21.25
-1.013290e+05,-2.559646e+06,3.894e-11,57.5,21.25
-1.013290e+05,-2.556146e+06,4.0527e-11,57.5,21.25
-1.013290e+05,-2.552646e+06,3.872e-11,57.5,21.25
-1.013290e+05,-2.549146e+06,4.0593e-11,57.5,21.25
-1.013290e+05,-2.545646e+06,3.9187e-11,57.5,21.25
-1.013290e+05,-2.542146e+06,3.839e-11,57.5,21.25
-1.013290e+05,-2.538646e+06,3.6737e-11,57.5,21.25
-1.013290e+05,-2.535146e+06,4.0303e-11,57.5,21.25
-1.013290e+05,-2.531646e+06,3.7647e-11,57.5,21.25
-1.013290e+05,-2.528146e+06,3.8177e-11,57.5,21.25
-1.013290e+05,-2.524646e+06,3.9567e-11,57.5,21.25
-1.013290e+05,-2.521146e+06,3.9467e-11,57.5,21.25
-1.013290e+05,-2.517646e+06,3.767e-11,57.5,21.25
-1.013290e+05,-2.514146e+06,3.941e-11,57.5,21.25
-1.013290e+05,-2.510646e+06,3.608e-11,57.5,21.25
-1.013290e+05,-2.507146e+06,4.0983e-11,57.5,21.25
-1.013290e+05,-2.503646e+06,3.842e-11,57.5,21.25
-1.013290e+05,-2.500146e+06,3.87e-11,57.5,21.25
-1.013290e+05,-2.496646e+06,3.9927e-11,57.5,21.25
-1.013290e+05,-2.493146e+06,3.9327e-11,57.5,21.25
-1.013290e+05,-2.489646e+06,4.0057e-11,57.5,21.25
-1.013290e+05,-2.486146e+06,4.021e-11,57.5,21.25
-1.013290e+05,-2.482646e+06,3.9463e-11,57.5,21.25
-1.013290e+05,-2.479146e+06,3.9067e-11,57.5,21.25
-9.782901e+04,-2.678646e+06,3.7357e-11,57.5,21.25
-9.782901e+04,-2.675146e+06,3.9713e-11,57.5,21.25
-9.782901e+04,-2.671646e+06,3.758e-11,57.5,21.25
-9.782901e+04,-2.668146e+06,3.974e-11,57.5,21.25
-9.782901e+04,-2.664646e+06,4.0183e-11,57.5,21.25
-9.782901e+04,-2.661146e+06,3.811e-11,57.5,21.25
-9.782901e+04,-2.657646e+06,3.9313e-11,57.5,21.25
-9.782901e+04,-2.654146e+06,3.775e-11,57.5,21.25
-9.782901e+04,-2.650646e+06,3.747e-11,57.5,21.25
-9.782901e+04,-2.647146e+06,4.1073e-11,57.5,21.25
-9.782901e+04,-2.643646e+06,3.9497e-11,57.5,21.25
-9.782901e+04,-2.640146e+06,3.826e-11,57.5,21.25
-9.782901e+04,-2.636646e+06,3.7997e-11,57.5,21.25
-9.782901e+04,-2.633146e+06,3.858e-11,57.5,21.25
-9.782901e+04,-2.629646e+06,3.8457e-11,57.5,21.25
-9.782901e+04,-2.626146e+06,3.6687e-11,57.5,21.25
-9.782901e+04,-2.622646e+06,3.8467e-11,57.5,21.25
-9.782901e+04,-2.619146e+06,3.7943e-11,57.5,21.25
-9.782901e+04,-2.615646e+06,3.9157e-11,57.5,21.25
-9.782901e+04,-2.612146e+06,4.0573e-11,57.5,21.25
-9.782901e+04,-2.608646e+06,4.209e-11,57.5,21.25
-9.782901e+04,-2.605146e+06,4.4373e-11,57.5,21.25
-9.782901e+04,-2.601646e+06,3.9057e-11,57.5,21.25
-9.782901e+04,-2.598146e+06,3.9827e-11,57.5,21.25
-9.782901e+04,-2.594646e+06,3.7623e-11,57.5,21.25
-9.782901e+04,-2.591146e+06,3.7543e-11,57.5,21.25
-9.782901e+04,-2.587646e+06,3.7497e-11,57.5,21.25
-9.782901e+04,-2.584146e+06,3.9793e-11,57.5,21.25
-9.782901e+04,-2.580646e+06,3.8647e-11,57.5,21.25
